total_time_seconds,code_submissions,submission_frequency_per_min,code_structure_changes,retries,hint_requests,experiments_started,question_level_numeric,accuracy_rate,learner_type
360.58,6,1.0,23,8,0,2,3,0.76,Experimental Learner
220.85,3,0.82,6,1,3,0,3,0.7,Manual Learner
773.33,4,0.31,2,2,3,0,2,0.95,Manual Learner
382.74,4,0.63,6,1,7,0,2,0.66,Manual Learner
322.24,2,0.37,1,0,6,1,1,0.8,Manual Learner
245.01,12,2.94,11,13,2,2,3,0.81,Experimental Learner
242.82,3,0.74,7,0,4,1,1,0.8,Manual Learner
383.58,14,2.19,15,14,2,5,1,0.71,Experimental Learner
69.18,19,16.48,9,11,1,2,3,0.73,Experimental Learner
327.61,13,2.38,21,10,2,8,1,0.46,Experimental Learner
324.82,13,2.4,13,7,1,8,2,0.88,Experimental Learner
182.65,6,1.97,18,14,1,2,2,0.88,Experimental Learner
121.7,9,4.44,13,14,2,8,3,0.46,Experimental Learner
595.83,2,0.2,2,0,6,0,1,0.66,Manual Learner
91.25,7,4.6,14,9,0,5,1,0.41,Experimental Learner
280.98,4,0.85,1,1,5,1,3,0.76,Manual Learner
528.39,3,0.34,7,3,7,1,1,0.67,Manual Learner
337.04,3,0.53,4,3,4,0,1,0.75,Manual Learner
67.62,5,4.44,34,4,0,5,3,0.45,Experimental Learner
363.98,9,1.48,39,6,2,6,3,0.75,Experimental Learner
79.78,21,15.79,23,6,1,9,3,0.65,Experimental Learner
629.67,1,0.1,2,0,2,0,2,0.77,Manual Learner
425.63,3,0.42,3,2,3,0,2,0.87,Manual Learner
861.64,3,0.21,7,3,4,1,1,0.81,Manual Learner
271.46,8,1.77,33,9,1,8,2,0.56,Experimental Learner
104.89,16,9.15,29,9,2,9,1,0.74,Experimental Learner
694.29,3,0.26,1,2,7,1,1,0.98,Manual Learner
249.66,13,3.12,32,14,2,9,3,0.54,Experimental Learner
65.17,14,12.89,26,5,0,3,2,0.71,Experimental Learner
223.37,19,5.1,31,14,2,6,2,0.73,Experimental Learner
74.3,20,16.15,9,11,0,5,2,0.63,Experimental Learner
278.36,19,4.1,16,11,2,8,3,0.55,Experimental Learner
385.83,2,0.31,2,3,2,0,3,0.78,Manual Learner
697.26,1,0.09,4,3,7,0,3,0.79,Manual Learner
889.97,1,0.07,6,3,7,0,1,0.94,Manual Learner
75.11,14,11.18,25,3,2,6,1,0.65,Experimental Learner
139.28,24,10.34,21,6,1,2,1,0.91,Experimental Learner
70.92,12,10.15,39,3,2,7,1,0.86,Experimental Learner
899.33,1,0.07,5,0,5,1,1,0.96,Manual Learner
330.62,2,0.36,2,3,6,1,1,0.96,Manual Learner
43.38,4,5.53,5,4,0,8,2,0.84,Experimental Learner
787.06,1,0.08,1,2,6,1,3,0.91,Manual Learner
340.05,13,2.29,6,8,0,2,1,0.68,Experimental Learner
263.1,5,1.14,34,8,0,8,3,0.51,Experimental Learner
682.43,3,0.26,7,2,5,1,1,0.85,Manual Learner
813.11,2,0.15,5,1,3,0,1,0.67,Manual Learner
199.67,15,4.51,32,6,1,8,2,0.48,Experimental Learner
141.5,12,5.09,25,9,2,4,2,0.92,Experimental Learner
531.26,3,0.34,3,3,4,0,1,0.65,Manual Learner
378.53,3,0.48,3,3,5,0,2,0.76,Manual Learner
313.22,4,0.77,5,2,3,1,1,0.77,Manual Learner
113.47,6,3.17,25,7,1,6,3,0.76,Experimental Learner
147.0,9,3.67,32,7,1,3,2,0.74,Experimental Learner
534.55,4,0.45,6,2,7,0,3,0.8,Manual Learner
325.95,9,1.66,16,9,2,5,2,0.46,Experimental Learner
781.49,4,0.31,1,0,3,1,2,0.67,Manual Learner
707.02,4,0.34,1,1,6,1,3,0.75,Manual Learner
600.63,3,0.3,1,2,4,1,3,1.0,Manual Learner
145.06,20,8.27,29,4,2,8,2,0.75,Experimental Learner
306.79,4,0.78,4,1,2,1,1,0.93,Manual Learner
235.71,8,2.04,34,12,2,7,1,0.65,Experimental Learner
210.04,4,1.14,6,0,4,0,2,0.66,Manual Learner
830.33,4,0.29,1,2,3,0,1,0.8,Manual Learner
212.52,4,1.13,7,6,0,8,3,0.75,Experimental Learner
277.98,20,4.32,31,10,0,7,2,0.7,Experimental Learner
783.36,2,0.15,4,2,6,1,3,0.8,Manual Learner
247.24,6,1.46,34,7,1,6,2,0.69,Experimental Learner
448.91,4,0.53,7,2,5,0,1,0.74,Manual Learner
168.62,3,1.07,7,2,4,0,1,0.84,Manual Learner
358.52,1,0.17,5,2,5,1,3,0.85,Manual Learner
311.73,17,3.27,36,9,2,4,3,0.83,Experimental Learner
72.22,14,11.63,30,12,1,7,2,0.76,Experimental Learner
394.29,7,1.07,15,12,2,9,3,0.59,Experimental Learner
180.71,3,1.0,6,3,4,1,3,0.79,Manual Learner
182.28,5,1.65,32,10,0,3,2,0.84,Experimental Learner
334.36,9,1.62,6,3,1,9,1,0.46,Experimental Learner
293.91,17,3.47,32,3,2,7,3,0.84,Experimental Learner
325.9,1,0.18,5,0,7,0,1,0.81,Manual Learner
40.95,19,27.84,19,11,2,6,3,0.53,Experimental Learner
158.77,20,7.56,34,13,0,7,2,0.62,Experimental Learner
814.92,4,0.29,2,2,2,1,2,0.89,Manual Learner
399.54,17,2.55,15,12,1,6,1,0.72,Experimental Learner
289.33,19,3.94,25,3,1,5,3,0.67,Experimental Learner
424.03,1,0.14,1,1,3,1,1,0.78,Manual Learner
157.02,13,4.97,19,13,2,9,3,0.7,Experimental Learner
822.75,2,0.15,2,2,3,1,3,0.81,Manual Learner
248.58,17,4.1,27,3,0,8,1,0.58,Experimental Learner
805.74,1,0.07,2,0,5,0,3,0.91,Manual Learner
507.19,4,0.47,7,2,6,0,3,0.96,Manual Learner
98.52,7,4.26,24,6,0,5,2,0.93,Experimental Learner
190.2,6,1.89,6,14,2,7,1,0.42,Experimental Learner
199.15,4,1.21,4,1,5,1,1,0.62,Manual Learner
438.38,4,0.55,1,3,6,0,1,0.72,Manual Learner
462.46,1,0.13,1,1,2,0,3,0.6,Manual Learner
211.12,4,1.14,16,7,1,6,3,0.86,Experimental Learner
391.87,3,0.46,2,3,4,1,3,0.69,Manual Learner
847.79,2,0.14,1,1,4,1,3,0.66,Manual Learner
253.65,1,0.24,7,0,2,1,1,0.61,Manual Learner
615.11,2,0.2,2,0,5,0,2,0.94,Manual Learner
790.03,3,0.23,5,1,2,1,3,0.94,Manual Learner
839.1,3,0.21,4,3,5,1,3,0.74,Manual Learner
147.81,15,6.09,32,4,1,4,1,0.63,Experimental Learner
208.58,4,1.15,1,2,4,0,1,0.67,Manual Learner
291.99,10,2.05,30,12,0,2,3,0.73,Experimental Learner
257.79,3,0.7,5,0,3,1,2,1.0,Manual Learner
162.43,3,1.11,7,2,5,0,1,0.96,Manual Learner
228.39,7,1.84,26,5,0,7,1,0.73,Experimental Learner
647.72,4,0.37,6,0,2,0,2,0.69,Manual Learner
123.86,17,8.24,26,5,1,6,2,0.77,Experimental Learner
239.77,9,2.25,31,11,2,3,2,0.68,Experimental Learner
747.02,2,0.16,4,1,4,1,1,0.96,Manual Learner
661.94,2,0.18,2,1,7,0,1,0.68,Manual Learner
367.66,9,1.47,12,7,1,9,3,0.88,Experimental Learner
537.76,1,0.11,6,2,6,1,3,0.83,Manual Learner
827.98,3,0.22,7,3,6,1,1,0.68,Manual Learner
38.56,8,12.45,39,14,1,8,3,0.89,Experimental Learner
389.35,2,0.31,5,2,5,0,2,0.84,Manual Learner
203.03,5,1.48,11,7,1,4,2,0.47,Experimental Learner
663.42,1,0.09,3,0,7,1,1,0.64,Manual Learner
355.98,11,1.85,14,8,0,9,1,0.69,Experimental Learner
125.99,6,2.86,6,3,1,2,3,0.76,Experimental Learner
70.96,8,6.76,13,4,0,4,3,0.88,Experimental Learner
394.29,16,2.43,39,7,2,6,1,0.48,Experimental Learner
564.67,2,0.21,1,3,7,1,2,0.82,Manual Learner
339.94,2,0.35,2,0,7,0,2,0.89,Manual Learner
428.44,4,0.56,3,0,6,0,3,0.68,Manual Learner
74.64,8,6.43,36,11,0,5,1,0.87,Experimental Learner
460.18,1,0.13,4,0,3,1,3,0.94,Manual Learner
155.55,15,5.79,23,11,0,4,1,0.49,Experimental Learner
358.56,4,0.67,32,6,1,4,2,0.69,Experimental Learner
190.79,11,3.46,9,7,0,3,3,0.67,Experimental Learner
90.52,11,7.29,24,14,0,3,1,0.42,Experimental Learner
837.64,1,0.07,3,3,5,0,2,0.76,Manual Learner
99.28,21,12.69,39,4,2,8,3,0.66,Experimental Learner
840.5,3,0.21,3,2,2,1,2,0.92,Manual Learner
307.81,17,3.31,32,12,0,3,3,0.64,Experimental Learner
30.85,15,29.17,39,6,0,9,1,0.65,Experimental Learner
264.25,4,0.91,5,1,4,0,3,0.73,Manual Learner
200.61,10,2.99,28,10,1,2,2,0.92,Experimental Learner
282.93,1,0.21,5,3,7,1,1,0.78,Manual Learner
307.36,9,1.76,39,8,1,8,2,0.57,Experimental Learner
165.54,19,6.89,30,7,1,9,2,0.8,Experimental Learner
365.62,10,1.64,19,5,1,5,2,0.62,Experimental Learner
244.36,4,0.98,1,1,6,0,2,0.87,Manual Learner
394.91,4,0.61,2,0,6,1,3,0.7,Manual Learner
77.86,22,16.95,14,12,0,4,1,0.77,Experimental Learner
104.93,24,13.72,23,9,2,8,3,0.74,Experimental Learner
619.11,1,0.1,3,2,7,1,2,0.87,Manual Learner
450.05,3,0.4,7,3,5,0,2,0.97,Manual Learner
149.22,21,8.44,24,11,1,5,2,0.58,Experimental Learner
834.5,4,0.29,7,1,7,1,3,0.9,Manual Learner
312.16,6,1.15,21,10,1,7,1,0.75,Experimental Learner
343.36,2,0.35,5,1,4,0,1,0.93,Manual Learner
92.05,11,7.17,5,3,1,5,3,0.86,Experimental Learner
730.75,3,0.25,1,0,4,0,3,0.68,Manual Learner
467.1,2,0.26,5,3,7,0,3,0.63,Manual Learner
743.05,1,0.08,2,1,7,0,2,0.64,Manual Learner
95.25,7,4.41,19,9,1,3,2,0.78,Experimental Learner
397.06,4,0.6,39,3,1,2,1,0.8,Experimental Learner
147.78,10,4.06,21,5,1,3,1,0.77,Experimental Learner
740.6,3,0.24,6,3,6,1,2,0.73,Manual Learner
326.51,7,1.29,22,5,2,4,1,0.88,Experimental Learner
265.14,2,0.45,4,1,2,1,1,0.6,Manual Learner
730.97,1,0.08,1,1,5,1,3,0.67,Manual Learner
795.6,2,0.15,6,2,5,0,3,0.64,Manual Learner
703.35,3,0.26,2,1,6,0,2,0.9,Manual Learner
166.12,12,4.33,12,10,0,7,3,0.47,Experimental Learner
282.22,1,0.21,2,0,6,0,2,1.0,Manual Learner
640.15,1,0.09,4,3,4,0,3,0.99,Manual Learner
101.15,16,9.49,12,8,1,9,1,0.8,Experimental Learner
233.84,12,3.08,33,7,2,5,1,0.43,Experimental Learner
209.89,17,4.86,14,6,1,4,3,0.85,Experimental Learner
172.59,19,6.61,14,4,1,3,1,0.71,Experimental Learner
54.45,11,12.12,5,3,0,6,3,0.76,Experimental Learner
817.7,1,0.07,4,3,4,1,3,0.62,Manual Learner
589.33,2,0.2,2,1,6,0,1,0.64,Manual Learner
467.05,3,0.39,2,0,2,1,3,0.73,Manual Learner
191.45,3,0.94,3,1,3,1,2,0.68,Manual Learner
373.98,18,2.89,8,12,0,2,1,0.74,Experimental Learner
789.29,4,0.3,6,0,6,1,2,1.0,Manual Learner
450.95,1,0.13,3,1,7,0,2,0.92,Manual Learner
883.98,2,0.14,4,2,4,0,3,0.75,Manual Learner
588.56,2,0.2,1,2,3,0,1,0.64,Manual Learner
248.05,16,3.87,17,11,1,5,2,0.75,Experimental Learner
375.13,19,3.04,18,12,0,4,2,0.71,Experimental Learner
273.74,11,2.41,24,7,0,9,2,0.61,Experimental Learner
274.55,3,0.66,6,3,4,1,1,0.83,Manual Learner
125.25,15,7.19,33,14,2,3,2,0.77,Experimental Learner
859.14,4,0.28,3,0,7,1,2,0.6,Manual Learner
660.31,4,0.36,4,0,2,0,3,0.94,Manual Learner
202.33,13,3.86,5,9,2,9,1,0.88,Experimental Learner
573.81,1,0.1,2,2,2,0,3,0.8,Manual Learner
387.2,5,0.77,38,12,2,8,1,0.73,Experimental Learner
168.55,6,2.14,8,7,2,6,2,0.71,Experimental Learner
254.67,23,5.42,19,14,1,3,2,0.47,Experimental Learner
339.96,5,0.88,14,11,0,7,3,0.41,Experimental Learner
201.56,13,3.87,29,9,0,7,3,0.61,Experimental Learner
44.84,16,21.41,21,14,1,9,1,0.48,Experimental Learner
408.11,1,0.15,1,2,7,0,2,0.92,Manual Learner
59.87,16,16.03,27,14,2,9,2,0.64,Experimental Learner
176.92,1,0.34,4,1,7,0,3,0.62,Manual Learner
141.65,14,5.93,36,7,0,4,3,0.86,Experimental Learner
194.87,1,0.31,6,3,2,1,2,0.97,Manual Learner
176.98,20,6.78,20,14,0,3,3,0.57,Experimental Learner
364.54,1,0.16,7,0,2,1,3,0.88,Manual Learner
391.08,17,2.61,34,7,2,7,1,0.84,Experimental Learner
231.09,24,6.23,36,5,2,5,3,0.67,Experimental Learner
172.95,9,3.12,17,5,1,2,1,0.44,Experimental Learner
195.05,8,2.46,37,13,1,2,1,0.49,Experimental Learner
881.8,4,0.27,2,1,5,1,3,0.99,Manual Learner
186.84,2,0.64,2,3,2,0,1,0.83,Manual Learner
228.77,17,4.46,26,12,0,6,3,0.74,Experimental Learner
381.07,6,0.94,17,4,0,5,1,0.64,Experimental Learner
169.97,10,3.53,31,4,1,5,1,0.58,Experimental Learner
278.96,7,1.51,20,12,0,8,3,0.49,Experimental Learner
99.52,21,12.66,8,10,1,6,2,0.68,Experimental Learner
896.11,1,0.07,4,2,4,1,2,0.63,Manual Learner
114.35,19,9.97,27,10,0,6,3,0.66,Experimental Learner
205.96,19,5.54,7,12,2,7,2,0.83,Experimental Learner
628.45,1,0.1,6,3,5,0,2,0.87,Manual Learner
385.42,18,2.8,17,10,1,7,3,0.68,Experimental Learner
200.09,15,4.5,12,10,2,4,1,0.51,Experimental Learner
306.49,8,1.57,36,11,0,6,1,0.93,Experimental Learner
298.25,2,0.4,3,1,5,0,3,0.9,Manual Learner
94.82,19,12.02,17,12,1,8,1,0.55,Experimental Learner
245.46,3,0.73,4,3,6,0,1,0.79,Manual Learner
306.76,6,1.17,33,5,1,5,3,0.53,Experimental Learner
282.27,1,0.21,4,1,4,1,1,0.9,Manual Learner
354.6,2,0.34,1,0,4,1,1,0.75,Manual Learner
722.37,1,0.08,7,1,4,1,2,0.95,Manual Learner
257.0,13,3.04,36,12,2,6,3,0.65,Experimental Learner
161.85,3,1.11,4,1,4,0,2,0.83,Manual Learner
339.55,24,4.24,8,11,0,3,3,0.87,Experimental Learner
352.98,6,1.02,36,4,0,3,2,0.55,Experimental Learner
377.36,13,2.07,17,14,1,6,1,0.49,Experimental Learner
193.46,3,0.93,7,3,4,0,3,0.87,Manual Learner
281.6,1,0.21,6,3,3,1,3,0.66,Manual Learner
331.36,12,2.17,13,14,0,4,3,0.55,Experimental Learner
474.39,3,0.38,2,3,6,1,3,0.75,Manual Learner
108.84,18,9.92,5,9,1,4,3,0.42,Experimental Learner
539.19,3,0.33,6,3,2,0,2,0.9,Manual Learner
291.63,1,0.21,2,2,4,0,2,0.94,Manual Learner
285.45,6,1.26,39,4,1,7,2,0.91,Experimental Learner
697.36,1,0.09,6,3,2,0,2,0.68,Manual Learner
497.87,1,0.12,3,0,6,0,3,0.92,Manual Learner
355.6,1,0.17,2,1,2,0,3,0.76,Manual Learner
785.0,3,0.23,3,1,2,0,1,0.86,Manual Learner
108.05,12,6.66,37,10,2,3,3,0.53,Experimental Learner
800.57,3,0.22,3,0,5,1,3,0.65,Manual Learner
377.25,6,0.95,30,14,1,2,3,0.69,Experimental Learner
333.59,7,1.26,31,10,0,5,1,0.53,Experimental Learner
216.95,14,3.87,25,13,1,8,3,0.9,Experimental Learner
702.39,2,0.17,5,1,5,1,1,0.92,Manual Learner
297.08,21,4.24,37,4,2,5,2,0.75,Experimental Learner
395.05,8,1.22,8,10,1,6,3,0.56,Experimental Learner
171.63,16,5.59,39,8,2,8,1,0.82,Experimental Learner
604.77,2,0.2,5,3,6,1,1,0.69,Manual Learner
238.5,16,4.03,22,8,0,5,2,0.88,Experimental Learner
447.33,2,0.27,7,3,2,0,3,0.7,Manual Learner
306.05,19,3.72,35,6,0,6,2,0.83,Experimental Learner
323.06,2,0.37,1,1,7,0,3,0.85,Manual Learner
226.7,6,1.59,21,4,1,2,2,0.51,Experimental Learner
330.35,5,0.91,17,14,1,3,1,0.93,Experimental Learner
371.1,21,3.4,16,12,0,4,1,0.45,Experimental Learner
203.48,1,0.29,7,0,2,0,1,0.93,Manual Learner
316.53,4,0.76,27,7,2,4,2,0.69,Experimental Learner
195.54,18,5.52,17,5,1,2,1,0.84,Experimental Learner
265.15,4,0.91,2,3,7,1,1,0.87,Manual Learner
58.77,22,22.46,31,5,0,8,1,0.78,Experimental Learner
139.16,24,10.35,24,5,0,4,2,0.74,Experimental Learner
260.71,23,5.29,9,6,2,6,3,0.78,Experimental Learner
485.13,1,0.12,3,1,2,1,1,0.78,Manual Learner
117.71,21,10.7,34,8,1,2,3,0.66,Experimental Learner
259.3,19,4.4,37,14,1,9,2,0.73,Experimental Learner
56.58,12,12.72,23,11,1,6,3,0.67,Experimental Learner
386.01,14,2.18,20,10,0,5,1,0.45,Experimental Learner
473.96,2,0.25,6,2,6,1,1,0.83,Manual Learner
855.81,4,0.28,2,1,5,0,1,0.86,Manual Learner
719.73,1,0.08,2,0,7,1,2,0.9,Manual Learner
399.57,20,3.0,12,11,0,4,1,0.54,Experimental Learner
397.6,4,0.6,39,4,1,4,2,0.87,Experimental Learner
105.43,11,6.26,23,11,2,3,1,0.64,Experimental Learner
394.47,23,3.5,36,9,2,9,1,0.58,Experimental Learner
237.49,7,1.77,22,9,1,5,2,0.81,Experimental Learner
398.01,3,0.45,1,1,3,1,3,0.78,Manual Learner
719.51,4,0.33,4,0,2,1,1,0.67,Manual Learner
131.76,18,8.2,7,3,0,9,2,0.41,Experimental Learner
87.5,14,9.6,26,5,1,7,2,0.44,Experimental Learner
360.43,6,1.0,5,9,0,6,3,0.7,Experimental Learner
302.09,4,0.79,5,0,6,0,2,0.98,Manual Learner
141.1,23,9.78,21,12,1,7,1,0.43,Experimental Learner
683.56,2,0.18,1,1,4,1,2,0.84,Manual Learner
329.89,8,1.46,29,3,0,8,2,0.73,Experimental Learner
181.91,4,1.32,2,2,4,0,2,0.67,Manual Learner
372.5,13,2.09,12,10,2,6,1,0.91,Experimental Learner
34.46,22,38.31,31,11,2,3,3,0.93,Experimental Learner
58.92,5,5.09,34,3,1,9,2,0.63,Experimental Learner
86.82,17,11.75,30,11,0,7,3,0.87,Experimental Learner
218.64,15,4.12,15,14,2,3,3,0.6,Experimental Learner
314.68,3,0.57,4,2,7,1,3,0.69,Manual Learner
169.93,8,2.82,34,12,0,6,2,0.91,Experimental Learner
669.69,3,0.27,7,2,2,0,1,0.87,Manual Learner
203.43,2,0.59,4,3,6,0,1,0.73,Manual Learner
222.43,10,2.7,34,3,1,8,3,0.76,Experimental Learner
813.82,3,0.22,4,1,2,0,1,0.88,Manual Learner
364.95,2,0.33,1,0,4,1,2,0.81,Manual Learner
174.03,3,1.03,5,1,4,0,2,0.64,Manual Learner
336.22,2,0.36,4,1,4,1,3,0.75,Manual Learner
249.6,7,1.68,5,10,1,8,2,0.63,Experimental Learner
737.12,4,0.33,7,1,2,1,2,0.91,Manual Learner
740.67,3,0.24,5,1,7,1,3,0.62,Manual Learner
560.24,3,0.32,2,3,4,0,3,0.61,Manual Learner
341.78,14,2.46,16,3,1,3,3,0.66,Experimental Learner
188.79,3,0.95,7,3,3,1,2,0.64,Manual Learner
847.58,3,0.21,4,3,7,1,1,0.8,Manual Learner
195.85,6,1.84,14,7,2,8,2,0.69,Experimental Learner
99.0,18,10.91,15,5,0,5,2,0.51,Experimental Learner
97.09,14,8.65,28,7,0,6,2,0.59,Experimental Learner
202.61,17,5.03,17,4,2,2,2,0.52,Experimental Learner
156.78,19,7.27,6,9,1,6,1,0.53,Experimental Learner
78.38,10,7.66,33,13,2,3,2,0.79,Experimental Learner
397.34,14,2.11,16,9,0,2,2,0.69,Experimental Learner
609.83,2,0.2,1,0,7,1,1,0.62,Manual Learner
330.19,2,0.36,2,3,2,0,1,0.68,Manual Learner
438.88,4,0.55,3,1,3,0,1,0.61,Manual Learner
717.49,3,0.25,7,1,7,0,2,0.81,Manual Learner
730.45,1,0.08,6,2,7,0,3,0.77,Manual Learner
328.37,20,3.65,15,3,2,5,1,0.95,Experimental Learner
64.51,9,8.37,27,4,0,7,3,0.84,Experimental Learner
347.04,11,1.9,8,12,0,9,2,0.42,Experimental Learner
348.91,4,0.69,3,3,4,0,3,0.71,Manual Learner
187.61,19,6.08,16,11,1,2,2,0.54,Experimental Learner
86.17,20,13.93,17,10,1,6,2,0.85,Experimental Learner
877.33,1,0.07,6,1,7,1,3,0.66,Manual Learner
92.89,8,5.17,33,6,1,4,1,0.91,Experimental Learner
572.9,2,0.21,6,1,2,0,2,0.93,Manual Learner
534.18,2,0.22,2,0,5,0,1,0.97,Manual Learner
98.81,9,5.47,16,4,1,4,3,0.64,Experimental Learner
228.11,3,0.79,7,3,4,0,3,0.79,Manual Learner
62.47,22,21.13,8,10,2,7,3,0.57,Experimental Learner
489.34,3,0.37,3,1,3,1,3,0.7,Manual Learner
54.85,16,17.5,6,4,1,2,2,0.76,Experimental Learner
862.39,4,0.28,6,1,7,0,1,0.73,Manual Learner
552.88,2,0.22,3,3,2,0,2,0.7,Manual Learner
297.72,3,0.6,2,1,5,0,2,0.74,Manual Learner
315.59,4,0.76,18,6,1,4,3,0.69,Experimental Learner
323.66,11,2.04,7,11,1,9,3,0.94,Experimental Learner
64.33,13,12.12,24,3,0,7,3,0.68,Experimental Learner
351.66,16,2.73,27,14,1,5,3,0.86,Experimental Learner
43.48,6,8.28,24,11,0,3,3,0.76,Experimental Learner
291.08,4,0.82,3,2,6,0,1,0.64,Manual Learner
312.76,5,0.96,11,6,0,3,3,0.79,Experimental Learner
143.82,16,6.67,15,11,0,2,3,0.42,Experimental Learner
697.12,4,0.34,7,1,6,0,2,0.79,Manual Learner
393.48,4,0.61,4,2,4,0,2,0.96,Manual Learner
59.14,12,12.18,18,3,0,8,2,0.56,Experimental Learner
723.06,4,0.33,4,2,7,1,1,0.63,Manual Learner
210.21,2,0.57,2,1,7,0,1,0.68,Manual Learner
214.26,21,5.88,25,4,1,4,3,0.48,Experimental Learner
667.32,1,0.09,7,3,4,1,2,0.63,Manual Learner
201.85,3,0.89,6,3,3,0,3,0.63,Manual Learner
339.15,5,0.88,8,6,0,9,1,0.87,Experimental Learner
561.2,4,0.43,3,1,6,1,2,0.8,Manual Learner
85.55,16,11.22,34,14,0,4,2,0.89,Experimental Learner
283.53,20,4.23,14,12,1,2,2,0.69,Experimental Learner
150.95,18,7.15,15,12,0,8,2,0.48,Experimental Learner
252.78,16,3.8,9,8,2,9,3,0.53,Experimental Learner
156.46,1,0.38,1,1,6,0,3,0.62,Manual Learner
56.59,21,22.27,25,7,2,8,2,0.41,Experimental Learner
396.76,24,3.63,14,7,0,6,1,0.71,Experimental Learner
323.14,18,3.34,31,8,2,5,3,0.54,Experimental Learner
140.04,22,9.43,16,9,2,6,3,0.94,Experimental Learner
553.08,4,0.43,4,1,2,0,1,0.81,Manual Learner
848.6,4,0.28,1,0,3,1,3,0.64,Manual Learner
298.51,6,1.21,7,3,2,8,2,0.82,Experimental Learner
295.79,22,4.46,25,8,0,9,3,0.93,Experimental Learner
275.81,12,2.61,20,11,2,5,3,0.49,Experimental Learner
554.58,2,0.22,4,3,5,0,1,0.76,Manual Learner
246.52,11,2.68,28,10,2,3,2,0.83,Experimental Learner
228.88,4,1.05,26,12,0,2,1,0.69,Experimental Learner
281.25,10,2.13,8,7,1,3,1,0.8,Experimental Learner
249.58,24,5.77,25,6,1,7,2,0.88,Experimental Learner
222.31,9,2.43,17,6,0,8,1,0.51,Experimental Learner
858.11,2,0.14,4,3,3,1,1,0.74,Manual Learner
171.84,21,7.33,32,12,2,6,1,0.73,Experimental Learner
178.79,8,2.68,6,14,2,9,3,0.69,Experimental Learner
108.34,19,10.52,33,11,1,3,1,0.78,Experimental Learner
336.79,19,3.38,14,13,0,6,3,0.92,Experimental Learner
267.66,22,4.93,21,11,1,8,1,0.45,Experimental Learner
777.48,2,0.15,2,0,3,1,2,0.69,Manual Learner
572.49,4,0.42,3,3,5,0,3,0.66,Manual Learner
363.92,23,3.79,34,6,1,6,2,0.75,Experimental Learner
36.1,4,6.65,38,13,1,3,3,0.61,Experimental Learner
532.3,2,0.23,4,0,4,1,2,0.7,Manual Learner
168.85,4,1.42,38,8,0,6,1,0.56,Experimental Learner
214.73,6,1.68,27,12,2,4,1,0.78,Experimental Learner
346.79,2,0.35,4,3,2,1,2,0.87,Manual Learner
221.13,18,4.88,26,6,1,5,1,0.45,Experimental Learner
398.36,11,1.66,5,10,1,7,3,0.85,Experimental Learner
259.37,9,2.08,29,12,2,9,1,0.91,Experimental Learner
777.15,2,0.15,1,2,3,0,1,0.78,Manual Learner
274.49,1,0.22,4,0,4,1,3,0.96,Manual Learner
76.03,21,16.57,15,11,2,5,1,0.62,Experimental Learner
381.75,13,2.04,19,13,2,6,2,0.81,Experimental Learner
258.12,2,0.46,5,3,3,1,2,0.74,Manual Learner
333.13,15,2.7,22,6,2,2,1,0.67,Experimental Learner
795.66,3,0.23,6,3,7,0,3,0.98,Manual Learner
848.87,4,0.28,4,0,4,1,2,0.74,Manual Learner
330.99,4,0.73,1,2,4,1,3,0.85,Manual Learner
